country_code,population,GDP_capita,growth
AUS,26658948,64820.91179,0.936488
CAN,40097761,53431.18571,-0.31067
CHN,1410710000,12614.06174,1.356733
DEU,83280000,54343.22651,0.339966
FRA,68287487,44690.93454,-0.26644
GBR,68350000,49463.85546,5.249558
JPN,124516650,33766.52683,1.248927
KOR,51712619,33121.37129,1.67902
SWE,10536632,55516.83648,2.887556
USA,334914895,82769.41221,3.441992
