country_code,population,GDP_capita,growth
AUS,26014399,64997.01365,4.242386
CAN,38939056,55509.39318,3.819866
CHN,1412175000,12662.58267,2.95067
DEU,83797985,49686.11546,1.369731
FRA,68065015,41082.81193,2.57084
GBR,67791000,45935.92765,4.839085
JPN,125124989,34017.27181,0.954737
KOR,51672569,32394.68337,2.612672
SWE,10486941,55296.93715,1.459289
USA,333271411,78035.17536,2.512375
