country_code,output,value_added,market_size
DEU,"490,234.00","150,620.00",106.2
FRA,"79,165.00","13,986.00",49
GBR,"65,667.00","15,524.00",32.4
JPN,53057747.52,13112145.2,102.6
KOR,,,38.9
SWE,"402,476.00","116,564.00",10.67
USA,"719,552.40","147,791.30",573.5
