country_code,output,value_added,market_size
DEU,"242,345.00","95,188.00",26.46
FRA,"53,865.00","18,791.00",21.16
GBR,"40,479.00","19,767.00",31.67
JPN,"44,143,500.00","16,844,500.00",39.29
KOR,,,16.48
SWE,"160,383.00","56,685.00",3.82
USA,"562,685.90","424,558.20",150.74
