country_code,population,GDP_capita,growth
AUS,25334826,54972.70179,2.171545057
CAN,37618495,46352.86934,1.908431925
CHN,1407745000,10143.86022,5.950500754
DEU,83092962,47623.86561,0.987893349
FRA,67382061,40408.28486,2.027446476
GBR,66836327,42662.53537,1.624475159
JPN,126633000,40415.95676,-0.402169201
KOR,51764822,31902.4169,2.24397786
SWE,10278887,51773.04646,2.549647853
USA,328329953,65604.68152,2.58382533
