country_code,population,GDP_capita,growth
AUS,25649248,51791.54018,-0.119590736
CAN,38028638,43537.8393,-5.038233441
CHN,1411100000,10408.71955,2.238638356
DEU,83160871,47379.76519,-4.095137491
FRA,67601110,39169.8606,-7.44064593
GBR,67081234,40201.68124,-10.29691887
JPN,126261000,40040.76551,-4.147118899
KOR,51836239,31721.29891,-0.709415359
SWE,10353442,52653.75659,-2.005337504
USA,331526933,64411.37318,-2.163029139
